lagoslakeid,lake_waterarea_ha,lake_totalarea_ha,lake_islandarea_ha,lake_perimeter_m,lake_islandperimeter_m,lake_shorelinedevfactor,lake_mbgconhull_length_m,lake_mbgconhull_width_m,lake_mbgconhull_orientation_deg,lake_mbgrect_length_m,lake_mbgrect_width_m,lake_mbgrect_arearatio,lake_meanwidth_m,lake_connectivity_class,lake_connectivity_fluctuates,lake_connectivity_permanent,lake_lakes4ha_upstream_ha,lake_lakes4ha_upstream_n,lake_lakes1ha_upstream_ha,lake_lakes1ha_upstream_n,lake_lakes10ha_upstream_n,lake_lakes10ha_upstream_ha,lake_glaciatedlatewisc
27054,237.0146809,238.8941034,1.879422498,11705.34611,1421.071053,2.144824199,3387.242469,1155.185315,43.7247363,3324.48934,1155.185315,0.622055083,705.2760651,DrainageLk,N,DrainageLk,201.1,3,201.1,3,3,201.1,Glaciated
3266,302.0146812,310.5619674,8.54728621,16469.78951,4253.664017,2.673431688,3122.801583,2332.091771,25.06689156,2702.318308,2334.108556,0.492369061,994.4979628,DrainageLk,N,DrainageLk,264.940478,5,273.008239,8,5,264.940478,Glaciated
107945,57.9166379,58.32995733,0.413319429,4840.324402,409.6784592,1.794187671,1413.067388,831.4065795,42.987181,1408.894705,831.4065795,0.497965938,412.7896276,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
73772,19.64984356,19.64984356,0,2149.328709,0,1.367786587,796.4694191,415.9500397,165.0402796,792.6735462,415.9500397,0.595968931,246.711859,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
38513,35.78511223,35.78511223,0,2697.855234,0,1.272220902,920.3856908,680.6101841,95.13444692,769.1802903,737.2552481,0.631039187,388.8055938,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
57287,104.0608154,104.0608154,0,4502.149582,0,1.245005818,1662.691354,789.0589579,41.23073585,1601.760287,789.0589579,0.823341968,625.8576712,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
106946,121.1414926,122.4090926,1.267600029,8632.284164,1006.651878,2.212454442,2667.064528,923.1289349,178.8101958,2666.958574,923.1289349,0.49720451,458.9656324,DrainageLk,N,DrainageLk,358.9,12,364.7,15,6,327.2,Glaciated
1544,7.802488864,7.802488864,0,1168.273926,0,1.179840049,418.3175113,284.7734417,82.06079831,416.0051769,284.7734417,0.658620127,186.5207645,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
1671,194.9848934,194.9848934,0,7901.661396,0,1.596294445,3004.861928,1010.021723,83.12653986,2967.86702,1011.349835,0.649613587,648.8980143,Drainage,N,Drainage,0,0,0,0,0,0,Glaciated
127784,2418.43351,2534.335376,115.9018658,81810.05859,26360.64148,4.692828633,8739.466015,6725.085861,47.1809948,7845.347324,6958.119067,0.464258718,2899.874483,DrainageLk,N,DrainageLk,4431.986701,60,4492.186701,98,47,4347.386701,Glaciated
3229,174.8902876,178.1606785,3.270390867,9343.635559,1313.868523,1.993095512,3322.584125,994.5451994,32.30425345,3322.430697,994.5451994,0.539177038,536.2111787,DrainageLk,N,DrainageLk,202,8,208.3,11,4,176.5,Glaciated
2060,819.6141398,837.8439548,18.22981501,29468.84155,6357.028961,2.903711156,5191.989356,3234.281814,80.90274105,5170.461922,3234.281814,0.501021004,1613.724289,DrainageLk,N,DrainageLk,73.6,5,73.6,5,2,49.7,Glaciated
1682,69.67599792,69.67599792,0,6496.381283,0,2.195457198,2134.257875,729.5645014,17.00374269,2121.127627,729.5645014,0.450248967,326.4647431,DrainageLk,Y,Drainage,38.7,5,42.6,7,1,17.3,Glaciated
90559,71.48133112,72.16416947,0.68283835,5040.812969,416.727066,1.68189681,1646.269767,823.2142927,43.81266124,1638.84808,823.2142927,0.534896844,438.3495995,Drainage,N,Drainage,0,0,0,0,0,0,Glaciated
92607,77.5849237,77.5849237,0,4882.891655,0,1.563808207,1621.114772,952.5860363,163.5988173,1620.608138,952.5860363,0.50256834,478.5899439,DrainageLk,N,DrainageLk,12.1,1,12.1,1,1,12.1,Glaciated
64551,352.7292657,390.1099168,37.38065108,29548.03848,7750.984192,4.438160218,6504.53273,2208.154101,25.65470713,6375.979923,2208.154101,0.277083505,599.7508822,Drainage,N,Drainage,5,1,5,1,0,0,Glaciated
1350,191.1014027,191.1014027,0,8695.747375,0,1.774475655,3043.298777,1373.206612,39.37193107,3037.441637,1373.206612,0.458163052,627.9416643,DrainageLk,N,DrainageLk,890.3,20,899.6,25,13,854.6,Glaciated
1604,117.6151076,117.6151076,0,6222.854614,0,1.618650804,2633.854431,785.8453726,64.35477205,2633.359773,785.8453726,0.568349923,446.5512722,Drainage,N,Drainage,4.7,1,4.7,1,0,0,Glaciated
22870,66.23361597,66.3957594,0.162143434,5850.246429,160.4452133,2.027822787,1494.762121,894.6165163,62.49575006,1444.497429,894.6165163,0.513791195,444.1894712,Drainage,Y,Headwater,0,0,0,0,0,0,Glaciated
11360,90.01320581,109.7944797,19.7812739,5161.889553,2704.243183,1.534796,1639.529705,989.140552,38.85645448,1626.934611,994.472259,0.678606029,669.6705712,DrainageLk,N,DrainageLk,18.1,1,18.1,1,1,18.1,Glaciated
66615,54.34396284,54.34396284,0,5260.828972,0,2.013138238,1232.659861,984.7443087,50.93666525,1091.974541,1000.178993,0.497577888,440.8674714,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
3438,20.81200301,20.88931527,0.077312256,2135.089159,104.3720245,1.320243753,671.2931875,518.8516225,17.16190268,626.6523503,522.2055181,0.638345865,311.180198,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
126761,45.39226953,45.39226953,0,3235.844374,0,1.354851682,1110.48677,585.3828188,64.10509066,1016.241309,587.5918024,0.760167507,408.7601069,Terminal,N,Terminal,5.6,1,5.6,1,0,0,Glaciated
1022,24.73905566,24.77874833,0.039692666,3038.081646,101.8340588,1.723070183,1008.438134,432.3355224,31.27146084,992.2449478,432.3355224,0.577616441,245.7141074,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
2040,2.367706752,2.367706752,0,651.6814232,0,1.194721096,262.8323053,125.0129343,172.4867185,261.1184801,125.0129343,0.725329402,90.08427626,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
1908,189.2264407,189.330681,0.104240335,13418.19096,127.0227432,2.7516812,4266.772837,1037.38751,84.17713318,4264.46895,1037.38751,0.427971689,443.7327595,DrainageLk,N,DrainageLk,41.647868,1,41.647868,1,1,41.647868,Glaciated
217,25.93173868,25.93173868,0,2592.636585,0,1.436219739,1136.059316,355.1701948,51.95013821,1132.230789,355.1701948,0.644852147,228.2604388,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
139153,13.04451833,13.04451833,0,1855.543137,0,1.449279298,810.6908543,278.3025008,90.49079289,802.3120504,278.3025008,0.584208311,160.9062114,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
118318,287.2596173,290.6368733,3.377256016,13641.65497,2365.358353,2.270517438,4066.19275,1543.078163,47.32181493,3922.28583,1543.078163,0.480201539,714.7641274,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
3089,143.7062481,147.9739863,4.267738173,7195.167065,1448.199749,1.693160488,2671.214259,1155.8697,59.69207984,2670.352727,1155.8697,0.479410869,553.957749,DrainageLk,N,DrainageLk,596.9,14,606.2,19,8,565.2,Glaciated
2364,95.47835592,103.6523674,8.174011448,4976.800919,2507.365704,1.436788621,1777.459719,933.5909858,105.8640515,1747.464614,941.3162996,0.63013741,583.1488921,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
2377,263.9226255,266.9809324,3.058306864,12150.9676,785.5701447,2.109927905,3787.796785,1823.082163,130.2726492,3705.95782,1823.082163,0.395160497,704.844905,DrainageLk,N,DrainageLk,22.079874,1,22.079874,1,1,22.079874,Glaciated
3068,97.2908456,97.77479339,0.483947791,6508.955956,411.2634659,1.861531609,2226.007267,719.2240113,19.32617347,2225.013769,719.2240113,0.610984314,439.2384381,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
2850,59.25165029,59.25165029,0,4720.718384,0,1.730027219,1694.611527,584.5158202,59.17414535,1649.707375,584.5158202,0.614465144,349.647402,Drainage,N,Drainage,0,0,0,0,0,0,Glaciated
52157,105.4090318,105.4090318,0,7859.303474,0,2.159435411,2261.613701,1216.225668,52.30334236,2232.189825,1216.225668,0.388268808,466.0788315,Drainage,N,Drainage,0,0,0,0,0,0,Glaciated
4214,48.73153706,48.73153706,0,3624.768734,0,1.464772978,1170.182596,655.9737687,35.533514,1145.436027,655.9737687,0.648563978,416.4438699,Isolated,N,Isolated,0,0,0,0,0,0,Glaciated
2751,80.34530862,80.98452497,0.639216352,9403.499603,465.0564194,2.959404389,2565.898575,722.9619871,108.3400376,2542.655593,722.9619871,0.440553925,315.6185844,Headwater,N,Headwater,0,0,0,0,0,0,Glaciated
18558,116.9034029,119.1078684,2.204465455,9618.372917,817.5878525,2.509476342,3502.346318,737.3424645,146.3574454,3497.127573,737.3424645,0.461912531,340.0802239,DrainageLk,N,DrainageLk,480,13,489.3,18,7,448.3,Glaciated
102779,166.0092732,166.0092732,0,8481.005669,0,1.856847543,3361.474045,849.0606713,34.53736505,3361.172667,849.0606713,0.581705014,493.8585724,Drainage,N,Drainage,0,0,0,0,0,0,Glaciated
