lagoslakeid,lake_namegnis,lake_states,lake_depth_state,lake_lat_decdeg,lake_lon_decdeg,lake_maxdepth_m,lake_meandepth_m,lake_waterarea_ha,lake_depth_sourcename,lake_depth_sourceurl,lake_maxdepth_effort,lake_meandepth_effort
67,NULL,MN,MN,45.3032741,-93.90461608,18.17821312,NA,89.77021644,NULL,NULL,bathymetry,NULL
73,NULL,MN,MN,48.5643998,-93.17219112,46,NA,18522.55085,NULL,NULL,LAGOSNE,NULL
79,NULL,MN,MN,45.19823399,-93.8543259,26.48914909,11.58,291.3260981,NULL,NULL,bathymetry,LAGOSNE
128,NULL,MN,MN,45.70337771,-95.86344548,3.960542679,2.23,284.5835657,NULL,NULL,bathymetry,LAGOSNE
131,NULL,MN,MN,45.33569606,-94.70917079,40.21648788,NA,1191.026314,NULL,NULL,bathymetry,NULL
143,NULL,MN,MN,48.42662539,-96.65392366,5.415328979,NA,17.31200041,NULL,NULL,bathymetry,NULL
163,NULL,MN,MN,44.9497123,-93.70777364,23.1492939,NA,19.84528359,NULL,NULL,bathymetry,NULL
168,NULL,MN,MN,46.98017365,-93.59897776,7.346583366,NA,43.4043962,NULL,NULL,bathymetry,NULL
177,NULL,MN,MN,44.9648415,-93.53585647,16.166,NA,3.487689177,NULL,NULL,LAGOSNE,NULL
191,NULL,MN,MN,44.96132408,-93.56184731,6.244498253,NA,20.73653774,NULL,NULL,bathymetry,NULL
197,NULL,MN,MN,45.07587435,-93.24390556,5.5,NA,10.70456082,NULL,NULL,LAGOSNE,NULL
203,NULL,MN,MN,44.79797157,-93.1248117,4.4,NA,5.408933746,NULL,NULL,LAGOSNE,NULL
212,NULL,MN,MN,46.82862238,-94.0140531,8,NA,6.652877193,NULL,NULL,LAGOSNE,NULL
213,NULL,MN,MN,47.92110218,-91.74744152,16.76007652,NA,257.2372135,NULL,NULL,bathymetry,NULL
217,NULL,MN,MN,47.95126082,-89.84557455,6.4,NA,25.93173868,NULL,NULL,LAGOSNE,NULL
240,NULL,MN,MN,47.77862556,-92.08764978,14.0165863,NA,262.6515543,NULL,NULL,bathymetry,NULL
251,NULL,MN,MN,45.36765899,-92.87896326,8.228097916,NA,422.8772673,NULL,NULL,bathymetry,NULL
256,NULL,MN,MN,45.31290267,-92.93664998,14.6,NA,14.32314176,NULL,NULL,LAGOSNE,NULL
259,NULL,MN,MN,47.74474263,-91.83810621,8,NA,2961.897895,NULL,NULL,LAGOSNE,NULL
260,NULL,MN,MN,47.89157156,-91.77047678,13.0488205,NA,1274.763037,NULL,NULL,bathymetry,NULL
265,NULL,MN,MN,47.58734319,-91.06568085,18.59189224,NA,17.03834047,NULL,NULL,bathymetry,NULL
291,NULL,MN,MN,44.03710838,-91.63704456,11.571908,NA,88.68800581,NULL,NULL,bathymetry,NULL
315,NULL,MN,MN,46.86199883,-93.98800289,31.96092606,NA,641.8065383,NULL,NULL,bathymetry,NULL
329,NULL,MN,MN,47.96449743,-91.57366143,21,NA,53.12474724,NULL,NULL,LAGOSNE,NULL
334,NULL,MN,MN,46.87113784,-95.85750791,9.143553734,NA,470.4646332,NULL,NULL,bathymetry,NULL
338,NULL,MN,MN,44.0421578,-91.65669173,7.307681084,NA,35.75624988,NULL,NULL,bathymetry,NULL
339,NULL,MN,MN,47.01584296,-94.72554984,24.38281059,NA,193.3072813,NULL,NULL,bathymetry,NULL
342,NULL,MN,MN,47.64016086,-91.1300891,3,NA,16.53355927,NULL,NULL,LAGOSNE,NULL
343,NULL,MN,MN,46.97248972,-94.13008346,23.97480392,NA,452.5708153,NULL,NULL,bathymetry,NULL
368,NULL,MN,MN,47.78087859,-91.9445715,18.89666939,NA,947.6749636,NULL,NULL,bathymetry,NULL
380,NULL,MN,MN,47.16632178,-91.87066084,5,NA,10.98197535,NULL,NULL,LAGOSNE,NULL
386,NULL,MN,MN,45.77428539,-94.7517646,24.38281059,NA,846.0147634,NULL,NULL,bathymetry,NULL
413,NULL,MN,MN,43.84557573,-95.04618921,8.587899208,NA,119.9508709,NULL,NULL,bathymetry,NULL
425,NULL,MN,MN,46.99607231,-93.58439136,14.70482159,NA,265.7766123,NULL,NULL,bathymetry,NULL
435,NULL,MN,MN,47.65792505,-95.02330588,12.8,NA,118.4605739,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
437,NULL,MI,MI,42.95064633,-85.60277455,15.5448,NA,116.5184026,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
442,NULL,MN,MN,44.98517869,-92.8844494,38.69935226,NA,109.3794774,NULL,NULL,bathymetry,NULL
452,NULL,MN,MN,46.92235862,-94.89164169,10.66747952,NA,161.8169329,NULL,NULL,bathymetry,NULL
456,NULL,WI,WI,45.10091592,-91.29191886,8.2296,NA,23.47927121,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
460,NULL,MN,MN,46.94619798,-94.34687395,8.838622093,NA,114.4621385,NULL,NULL,bathymetry,NULL
462,NULL,MN,MN,46.66001333,-94.04414951,8.827754021,NA,65.5542904,NULL,NULL,bathymetry,NULL
465,NULL,MN,MN,46.77842886,-94.04745188,23.71259689,NA,169.4983231,NULL,NULL,bathymetry,NULL
467,NULL,MN,MN,46.95522163,-93.21138403,9.8,NA,51.57784466,MN_MPCA_CHEM,NULL,LAGOSNE,NULL
468,NULL,MN,MN,44.39314962,-93.32401858,14.31720543,NA,124.066019,NULL,NULL,bathymetry,NULL
469,NULL,MN,MN,45.88848823,-94.68963881,7.923105717,3.95,52.35465861,NULL,NULL,bathymetry,LAGOSNE
477,NULL,MN,MN,46.07187384,-92.50454595,14.21278,NA,29.37219613,NULL,NULL,bathymetry,NULL
480,NULL,MI,MI,42.42477416,-83.89438144,19.5072,NA,102.1492555,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
481,NULL,MI,MI,42.12264495,-85.78963326,12.19140506,NA,147.1835202,NULL,NULL,bathymetry,NULL
490,NULL,WI,WI,45.05689408,-92.6454355,10.668,NA,149.6853797,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
493,NULL,MN,MN,46.28940129,-95.55238259,26.47170067,NA,794.5983687,NULL,NULL,bathymetry,NULL
507,NULL,MN,MN,44.36808287,-93.64109413,20.36104202,7,104.9305982,NULL,NULL,bathymetry,LAGOSNE
524,NULL,MN,MN,44.30954973,-93.91863343,11.27703094,NA,99.32747049,NULL,NULL,bathymetry,NULL
528,NULL,MI,MI,41.71101779,-84.65101159,15.5448,NA,106.0223796,Kendra Cheruvelil-undocumented,NULL,LAGOSNE,NULL
530,NULL,WI,WI,46.15477393,-89.76971084,18.5928,NA,334.9780811,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
531,NULL,MN,MN,45.21900086,-92.86692854,15.23925591,NA,676.2589453,NULL,NULL,bathymetry,NULL
532,NULL,MN,MN,46.64581774,-93.36603916,9.8,NA,31.9476107,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
533,NULL,MN,MN,44.69964925,-93.48164507,11.27487278,NA,237.6788841,NULL,NULL,bathymetry,NULL
537,NULL,MN,MN,45.64800438,-95.45094344,10.19073772,NA,206.7181722,NULL,NULL,bathymetry,NULL
542,NULL,MN,MN,46.29014169,-95.68422296,32.91679382,NA,2231.843113,NULL,NULL,bathymetry,NULL
544,NULL,MN,MN,46.0234163,-95.88325386,6.966525555,NA,718.0591207,NULL,NULL,bathymetry,NULL
546,NULL,MN,MN,46.12196734,-93.00753414,46.63120651,NA,212.350445,NULL,NULL,bathymetry,NULL
548,NULL,MI,MI,44.74065668,-85.86084768,9.143553795,NA,15.72410934,NULL,NULL,bathymetry,NULL
552,NULL,MN,MN,45.26942675,-92.94599305,11.25902176,NA,914.1622804,NULL,NULL,bathymetry,NULL
557,NULL,MN,MN,45.8131072,-94.6368171,26.65200233,11.7,95.73923289,NULL,NULL,bathymetry,LAGOSNE
567,NULL,MN,MN,46.55213293,-94.26582534,14.01953316,NA,158.149828,NULL,NULL,bathymetry,NULL
587,NULL,MN,MN,48.39686863,-92.52282197,28.95456314,NA,104.0586497,NULL,NULL,bathymetry,NULL
590,NULL,MN,MN,46.73540904,-93.62171937,11.24277306,NA,242.0477237,NULL,NULL,bathymetry,NULL
591,NULL,MN,MN,46.62514408,-93.54467842,11.3,NA,57.09481182,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
596,NULL,MN,MN,47.95640634,-91.79028332,13.70229149,NA,186.180621,NULL,NULL,bathymetry,NULL
598,NULL,MN,MN,46.44631823,-94.35106703,23,NA,4007.537143,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
609,NULL,MN,MN,47.87027911,-90.1726659,23.45845032,NA,104.4981166,NULL,NULL,bathymetry,NULL
610,NULL,MN,MN,45.02686031,-92.98797661,5.453514576,NA,28.32896194,NULL,NULL,bathymetry,NULL
614,NULL,MN,MN,46.68393891,-93.90266353,11.26998043,NA,95.48537027,NULL,NULL,bathymetry,NULL
616,NULL,WI,WI,46.19913777,-89.56796154,8.2296,NA,89.60054024,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
624,NULL,MN,MN,46.97740306,-92.14492238,11.3,NA,32.0983197,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
628,NULL,MI,MI,43.62011049,-85.28565881,15.24,NA,89.60755927,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
634,NULL,MN,MN,46.85262436,-94.47766416,15.54397392,NA,104.3413131,NULL,NULL,bathymetry,NULL
637,NULL,MN,MN,47.3833005,-93.64057228,30.78329849,NA,1632.842624,NULL,NULL,bathymetry,NULL
648,NULL,WI,WI,45.89974178,-89.72062415,12.8016,NA,34.31744143,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
660,NULL,MN,MN,46.48299076,-93.74345297,14,NA,151.8121725,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
666,NULL,MN SD,SD,45.70445187,-96.73108452,3.048,NA,4349.351348,Navionics,NULL,LAGOSUS,NULL
678,NULL,MN,MN,44.95264561,-93.30539609,9.448338509,NA,48.46746936,NULL,NULL,bathymetry,NULL
683,NULL,MI,MI,42.39301846,-84.00695459,15.23925632,NA,89.91240799,NULL,NULL,bathymetry,NULL
685,NULL,MN,MN,45.03784554,-93.12411444,11.27651596,NA,146.7931027,NULL,NULL,bathymetry,NULL
692,NULL,MN,MN,46.83642641,-95.56530009,19.80259895,NA,162.2419062,NULL,NULL,bathymetry,NULL
700,NULL,MN,MN,45.05803817,-93.13529996,3.19,NA,7.140259908,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
719,NULL,WI,WI,45.22875393,-91.2503842,10.0584,NA,3.715753086,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
726,NULL,MN,MN,45.25311687,-94.26052725,10.66747952,NA,35.47428484,NULL,NULL,bathymetry,NULL
734,NULL,MN,MN,44.99097945,-93.3407578,7.619627953,NA,27.80686588,NULL,NULL,bathymetry,NULL
741,NULL,MN,MN,46.27615056,-95.58153558,12.5,NA,295.091942,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
749,NULL,MN,MN,45.78158541,-95.36345126,23.7417202,5.08,329.1581004,NULL,NULL,bathymetry,LAGOSNE
765,NULL,MN,MN,44.94183252,-93.25697533,7,NA,4.253864611,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
768,NULL,MN,MN,45.57277312,-93.40871145,14.26951885,NA,99.13167203,NULL,NULL,bathymetry,NULL
769,NULL,MN,MN,46.96387793,-94.15961897,9.143553734,NA,90.28935928,NULL,NULL,bathymetry,NULL
778,NULL,MN,MN,48.06220756,-92.90669358,10.93890285,NA,4640.116985,NULL,NULL,bathymetry,NULL
780,NULL,MN,MN,44.86863633,-93.49263432,11.5,NA,12.31354891,MN_MPCA_CHEM_1999_2012,NULL,LAGOSNE,NULL
781,NULL,MN,MN,45.10124811,-92.95342019,8.97947216,NA,70.53091177,NULL,NULL,bathymetry,NULL
783,NULL,MN,MN,44.19810841,-92.48866543,12.1914053,NA,283.1236725,NULL,NULL,bathymetry,NULL
791,NULL,MN,MN,46.79124587,-92.90489898,13.71533108,NA,321.6725658,NULL,NULL,bathymetry,NULL
800,NULL,MN,MN,45.10005702,-93.09228214,17.58893967,5.2,237.4593144,NULL,NULL,bathymetry,LAGOSNE
804,NULL,MN,MN,45.46955291,-94.07280716,13.08273888,NA,84.54233974,NULL,NULL,bathymetry,NULL
834,NULL,MI,MI,44.71560153,-85.84856528,21.33495885,NA,202.6459155,NULL,NULL,bathymetry,NULL
843,NULL,MN,MN,44.86681708,-93.65908275,11.22689724,NA,65.63557503,NULL,NULL,bathymetry,NULL
848,NULL,MN,MN,46.496876,-93.91410417,7.6,NA,74.21381537,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
857,NULL,MN,MN,45.07453759,-93.41309678,10.79057598,NA,114.2144361,NULL,NULL,bathymetry,NULL
859,NULL,MN,MN,47.59123687,-93.14350244,9.1,NA,37.70929367,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
876,NULL,MN,MN,45.90301952,-95.11713159,20.26822662,NA,2566.291503,NULL,NULL,bathymetry,NULL
877,NULL,MI,MI,44.93418175,-84.19128944,27.4,NA,117.6689275,PASdbase,NULL,LAGOSNE,NULL
878,NULL,MN,MN,47.82348353,-90.42367681,15.23925591,NA,739.7800981,NULL,NULL,bathymetry,NULL
882,NULL,MN,MN,47.02755352,-94.82034738,29.2561512,NA,145.7687802,NULL,NULL,bathymetry,NULL
902,NULL,MN,MN,44.18123916,-93.80028134,17.57383728,NA,541.8284447,NULL,NULL,bathymetry,NULL
906,NULL,WI,WI,46.00864588,-89.69970355,20,10.9,63.6524628,WI_LTER_SECCHI,NULL,LAGOSNE,LAGOSNE
909,NULL,MI,MI,42.58301377,-83.84867714,18.28710759,NA,125.5444699,NULL,NULL,bathymetry,NULL
921,NULL,MN,MN,48.36401319,-92.48036505,56.03779221,NA,1723.410473,NULL,NULL,bathymetry,NULL
924,NULL,MN,MN,45.11831458,-92.79744339,8.835271835,NA,30.77126969,NULL,NULL,bathymetry,NULL
925,NULL,WI,WI,45.90739757,-89.70091441,13.4112,NA,45.67371069,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
926,NULL,MN,MN,46.22298293,-92.9723495,7.9,NA,7.799433957,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
933,NULL,MN,MN,48.33651369,-92.48849692,23.77233696,NA,311.4951479,NULL,NULL,bathymetry,NULL
938,NULL,MI,MI,43.45757684,-85.8119142,21.33495885,NA,124.1308519,NULL,NULL,bathymetry,NULL
954,NULL,MI,MI,41.80491363,-85.54504378,21.33495885,NA,336.146479,NULL,NULL,bathymetry,NULL
955,NULL,MN,MN,45.13513894,-92.80859694,20.11133194,NA,185.5033859,NULL,NULL,bathymetry,NULL
958,NULL,MN,MN,46.8301691,-93.14657099,7.009515762,NA,28.20041181,NULL,NULL,bathymetry,NULL
963,NULL,MN,MN,45.43534239,-94.50139023,9.238652229,NA,64.88941044,NULL,NULL,bathymetry,NULL
972,NULL,MN,MN,46.23748787,-95.66778456,20.91349411,NA,1015.632712,NULL,NULL,bathymetry,NULL
975,NULL,MN,MN,45.87022256,-95.80860642,8.529935837,NA,81.69892259,NULL,NULL,bathymetry,NULL
996,NULL,MN,MN,47.15988498,-94.41280199,45.7,NA,41824.35205,MN_MPCA_SECCHI,NULL,LAGOSNE,NULL
1003,NULL,MN,MN,45.67782835,-94.50275508,19.18996048,NA,236.2855785,NULL,NULL,bathymetry,NULL
1004,NULL,MN,MN,45.35680327,-93.33578938,9.72268486,2.7,194.4138842,NULL,NULL,bathymetry,LAGOSNE
1013,NULL,MN,MN,45.4216413,-94.57701332,9.143553734,NA,167.8739038,NULL,NULL,bathymetry,NULL
1022,NULL,MN,MN,47.60874193,-91.25382397,6.700454235,NA,24.73905566,NULL,NULL,bathymetry,NULL
1025,NULL,MI,MI,41.92992229,-85.73773899,18.28710759,NA,241.5925351,NULL,NULL,bathymetry,NULL
1029,NULL,MN,MN,46.64293293,-92.91815457,10.64298344,NA,153.472438,NULL,NULL,bathymetry,NULL
1030,NULL,MI,MI,44.0702781,-84.75366011,24.38281012,NA,49.44220593,NULL,NULL,bathymetry,NULL
1037,NULL,MI,MI,43.9967646,-85.41512902,24.38281012,NA,19.6001336,NULL,NULL,bathymetry,NULL
1038,NULL,MI,MI,42.15138446,-85.48603286,22.86,NA,319.7651351,MI_DEQ_HIST_LWQS,NULL,LAGOSNE,NULL
1043,NULL,WI,WI,43.60268876,-90.18407527,12.192,NA,54.91438105,WI_DNR_NUTRIENT,NULL,LAGOSNE,NULL
1045,NULL,MN,MN,47.18924708,-95.2180673,29.62432289,10.46,118.0881116,NULL,NULL,bathymetry,LAGOSNE
1048,NULL,MN,MN,44.9596864,-93.3212411,15.5325079,NA,68.63339548,NULL,NULL,bathymetry,NULL
1055,NULL,MN,MN,46.80364725,-93.94421949,7.615337372,NA,49.59824274,NULL,NULL,bathymetry,NULL
1060,NULL,MN,MN,46.56643427,-94.25705171,12.1914053,NA,169.269578,NULL,NULL,bathymetry,NULL
1061,NULL,MN,MN,45.37850034,-92.82196922,32.08399963,NA,367.9147972,NULL,NULL,bathymetry,NULL
1065,NULL,MN,MN,44.93308822,-93.67475063,11.53470898,NA,57.31207464,NULL,NULL,bathymetry,NULL
