lagoslakeid,lake_nhdid,lake_nhdfcode,lake_nhdftype,lake_reachcode,lake_namegnis,lake_namelagos,lake_onlandborder,lake_ismultipart,lake_missingws,lake_shapeflag,lake_lat_decdeg,lake_lon_decdeg,lake_elevation_m,lake_centroidstate,lake_states,lake_county,lake_countyfips,lake_huc12,buff100_zoneid,buff500_zoneid,ws_zoneid,nws_zoneid,hu12_zoneid,hu8_zoneid,hu4_zoneid,county_zoneid,state_zoneid,epanutr_zoneid,omernik3_zoneid,wwf_zoneid,mlra_zoneid,bailey_zoneid,neon_zoneid
27054,114544511,39004,390,4.0101E+12,Fourmile Lake,Fourmile Lake,N,Y,N,noflag,47.68974027,-90.9686764,506.2999878,MN,MN,Cook,27031,40101010902,27054,27054,27054,27054,hu12_14705,hu8_135,hu4_28,county_427,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
3266,120020638,39004,390,4.0101E+12,Crescent Lake,Crescent Lake,N,Y,N,noflag,47.82349116,-90.76634853,541.2999878,MN,MN,Cook,27031,40101010701,3266,3266,3266,3266,hu12_14745,hu8_135,hu4_28,county_427,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
107945,120020480,39004,390,4.0102E+12,Aerie Lake,Aerie Lake,N,Y,N,noflag,47.00178289,-92.63820392,400,MN,MN,St. Louis,27137,40102010908,107945,107945,107945,NA,hu12_14799,hu8_133,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_207,bailey_13,neon_5
73772,107071492,39004,390,4.0102E+12,Majestic Lake,Majestic Lake,N,N,N,noflag,47.46123662,-92.62889043,427.1000061,MN,MN,St. Louis,27137,40102010704,73772,73772,73772,NA,hu12_14794,hu8_133,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_207,bailey_11,neon_5
38513,87818925,39004,390,4.0102E+12,Dodo Lake,Dodo Lake; DODO (W. LEORA),N,N,N,noflag,47.10180623,-92.41750445,418.6000061,MN,MN,St. Louis,27137,40102020603,38513,38513,38513,NA,hu12_14516,hu8_137,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_207,bailey_13,neon_5
57287,87818893,39004,390,4.0102E+12,Leora Lake,Leora Lake,N,N,N,noflag,47.10368077,-92.40428992,418.5,MN,MN,St. Louis,27137,40102020603,57287,57287,57287,NA,hu12_14516,hu8_137,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_207,bailey_13,neon_5
106946,107069992,39004,390,4.0102E+12,Sabin Lake,Sabin Lake,N,Y,N,noflag,47.58820271,-92.3005985,416.6000061,MN,MN,St. Louis,27137,40102010303,106946,106946,106946,106946,hu12_14772,hu8_133,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
1544,87820049,39004,390,4.0102E+12,Mirror Lake,Mirror Lake,N,N,N,noflag,46.96584297,-92.17190141,421,MN,MN,St. Louis,27137,40102020502,1544,1544,1544,NA,hu12_19772,hu8_137,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
1671,107074156,39004,390,4.0102E+12,Pike Lake,Pike Lake,N,N,N,noflag,46.86646723,-92.29992018,425.7000122,MN,MN,St. Louis,27137,40102011502,1671,1671,1671,NA,hu12_11318,hu8_133,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
127784,120020157,39004,390,4.0102E+12,Island Lake Reservoir,Island Lake Reservoir,N,Y,N,noflag,47.01275947,-92.19850076,416.3999939,MN,MN,St. Louis,27137,40102020404,127784,127784,127784,127784,hu12_14513,hu8_137,hu4_28,county_446,state_14,epanutr_7,omernik3_48,wwf_4,mlra_215,bailey_11,neon_5
