lagoslakeid,lake_nhdid,lake_reachcode,lake_namegnis,lake_namelagos,lake_county,lake_countyfips,lake_lat_decdeg,lake_lon_decdeg,lake_centroidstate,nhdhr_area_sqkm,nhdhr_fdate,nhdhr_gnisid,lagosus_legacysiteid,lagosus_legacysitelabel,lagosus_legacyprogram,wqp_monitoringlocationidentifier,wqp_monitoringlocationname,wqp_providername,nhdplusv2_comid,nhdplusv2_reachcode,nhdplusv2_area_sqkm,lagosne_lagoslakeid,lagosne_legacysiteid,nla2007_siteid,nla2012_siteid,nhdplusv2_lakes_n,lagosne_lakes_n,wqp_sites_n,lagosus_legacyids_n
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-100,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-101,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-201,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-202,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-203,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-204,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-206,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,MNPCA-86-0146-00-208,IDA,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
67,120019842,7.0102E+12,Ida Lake,Ida Lake,Wright,27171,45.3032741,-93.90461608,MN,0.898,2004-03-16T05:00:00Z,645329,NA,NA,NA,NALMS-3816,Ida,STORET,2721971,7.0102E+12,0.894,67,86-0146-00-101,NA,NA,1,1,9,8
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483003092380301,RAINY LK BELOW KETTLE FALLS NR INTL FALLS MN,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483003092380301,RAINY LK BELOW KETTLE FALLS NR INTL FALLS MN,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483003092380301,RAINY LK BELOW KETTLE FALLS NR INTL FALLS MN,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483003092380301,RAINY LK BELOW KETTLE FALLS NR INTL FALLS MN,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483304093062701,RAINY LAKE AT BLACK BAY NR INT FALLS MN,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483304093062701,RAINY LAKE AT BLACK BAY NR INT FALLS MN,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483304093062701,RAINY LAKE AT BLACK BAY NR INT FALLS MN,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483304093062701,RAINY LAKE AT BLACK BAY NR INT FALLS MN,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483341093111501,RAINY LK AT BLACK BAY (WEST) NR INTERNATIONAL FLLS,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483341093111501,RAINY LK AT BLACK BAY (WEST) NR INTERNATIONAL FLLS,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483341093111501,RAINY LK AT BLACK BAY (WEST) NR INTERNATIONAL FLLS,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483341093111501,RAINY LK AT BLACK BAY (WEST) NR INTERNATIONAL FLLS,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483511093092801,RAINY LAKE AT BLACK BAY NARROWS NR INT FALLS MN,NWIS,120052233,9.03E+12,197.246,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483511093092801,RAINY LAKE AT BLACK BAY NARROWS NR INT FALLS MN,NWIS,7151078,9.03E+12,0.272,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483511093092801,RAINY LAKE AT BLACK BAY NARROWS NR INT FALLS MN,NWIS,7156776,9.03E+12,2.292,73,69-0694-00-211,NA,NA,4,1,43,30
73,120019354,9.03E+12,Rainy Lake,Rainy Lake,St. Louis,27137,48.5643998,-93.17219112,MN,185.2254721,2014-09-25T04:00:00Z,662245,NA,NA,NA,USGS-483511093092801,RAINY LAKE AT BLACK BAY NARROWS NR INT FALLS MN,NWIS,22235732,9.03E+12,0.004,73,69-0694-00-211,NA,NA,4,1,43,30
