lagoslakeid,ws_zoneid,nws_zoneid,ws_subtype,ws_equalsnws,ws_onlandborder,ws_oncoast,ws_inusa_pct,ws_includeshu4inlet,ws_ismultipart,ws_sliverflag,nws_onlandborder,nws_oncoast,nws_inusa_pct,nws_includeshu4inlet,nws_ismultipart,ws_states,ws_focallakewaterarea_ha,ws_area_ha,ws_perimeter_m,ws_lake_arearatio,ws_mbgconhull_length_m,ws_mbgconhull_width_m,ws_mbgconhull_orientation_deg,ws_meanwidth_m,ws_lat_decdeg,ws_lon_decdeg,nws_states,nws_focallakewaterarea_ha,nws_area_ha,nws_perimeter_m,nws_lake_arearatio,nws_mbgconhull_length_m,nws_mbgconhull_width_m,nws_mbgconhull_orientation_deg,nws_meanwidth_m,nws_lat_decdeg,nws_lon_decdeg
1350,1350,1350,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,191.1014027,435.2685982,25575.74708,2.277683952,3814.000486,2969.134519,36.89994385,1141.238969,47.46794494,-92.35266944,MN,191.1014027,34897.78649,243008.1495,182.6139734,41135.289,18787.70043,46.26077649,8483.661434,47.46794494,-92.35266944
11360,11360,11360,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,90.01320581,271.2755217,23121.88818,3.013730255,3289.376949,2251.648585,72.66675575,824.7018384,47.2238955,-93.03097974,MN,90.01320581,331.7155236,23001.88851,3.685187308,3388.170652,2251.648585,52.55513313,979.0401893,47.2238955,-93.03097974
27054,27054,27054,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,237.0146809,774.1286236,39202.7789,3.266163179,5680.739385,3354.316174,34.52930028,1362.725116,47.68974027,-90.9686764,MN,237.0146809,2184.638657,56996.66392,9.217313666,10602.83448,4510.806072,15.0323637,2060.428898,47.68974027,-90.9686764
1671,1671,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,194.9848934,1132.69309,33921.69632,5.809132544,5850.068348,3591.624851,61.06906145,1936.204882,46.86646723,-92.29992018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4196,4196,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,95.63021575,435.8193281,27517.58546,4.55733917,5444.571938,1656.231589,89.05284518,800.4657356,48.06671824,-90.51946507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22870,22870,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,66.23361597,662.0017108,29596.72399,9.994950467,4717.054134,3136.083088,29.88047446,1403.421907,47.24942537,-93.07778484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3824,3824,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,108.1629387,2529.121668,48616.97506,23.38251622,11605.69257,3724.363479,59.50191484,2179.207878,47.22023162,-92.22343591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130915,130915,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,137.5540716,400.3876029,24433.94831,2.910765186,4642.854652,2178.237505,25.51640148,862.3737612,47.71005828,-91.040757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,4013,4013,IDWS,N,N,N,100,N,Y,N,N,N,100,N,N,MN,156.0695396,578.4377137,33568.15158,3.706281925,5862.849188,2270.843344,111.0936422,986.6153729,48.0485339,-90.06507588,MN,156.0695396,12052.0384,137720.5286,77.22223329,31573.40805,8848.977424,86.36819919,3817.148399,48.0485339,-90.06507588
3103,3103,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,328.2613385,1269.321618,42028.14084,3.866802054,8101.882499,2625.730813,64.95320077,1566.699614,47.76569235,-90.59155612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2260,2260,2260,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,159.2331943,1412.186202,37930.94527,8.868667166,6917.636838,3987.220069,17.15144465,2041.428649,47.78094081,-90.73934447,MN,159.2331943,3014.934992,44698.77763,18.93408598,10584.06824,4571.257062,36.66418782,2848.559669,47.78094081,-90.73934447
3089,3089,3089,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,143.7062481,1919.15681,47801.10594,13.35472072,7358.213011,5590.265708,53.56615855,2608.183273,47.53039018,-92.31968516,MN,143.7062481,33185.71226,220305.0253,230.927414,36430.67117,18493.69036,51.39668434,9109.278308,47.53039018,-92.31968516
3260,3260,3260,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,199.4939759,395.8389178,33794.37603,1.984214892,6884.911064,1560.71277,87.83578354,574.9368643,48.0662013,-90.42848716,MN,199.4939759,1396.692525,46512.84087,7.001176446,10381.93151,3157.633359,83.25147403,1345.310865,48.0662013,-90.42848716
3229,3229,3229,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,174.8902876,2097.778156,64318.5495,11.99482364,9670.74463,6189.147852,66.66915892,2169.200239,47.17728325,-91.88851168,MN,174.8902876,4214.829371,75703.63727,24.09984813,12169.44541,6437.339304,76.84305252,3463.4523,47.17728325,-91.88851168
609,609,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,104.4981166,366.2936546,18749.97424,3.505265612,4230.236433,1784.358761,98.83884053,865.8940473,47.87027911,-90.1726659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64551,64551,64551,IDWS,N,N,N,100,N,Y,N,N,N,100,N,N,MN,352.7292657,6073.455299,117537.3005,17.21846155,14446.54453,7246.231933,33.26045222,4204.088588,47.48165642,-92.65712467,MN,352.7292657,6355.175303,100177.2999,18.01714777,14446.54453,7246.231933,33.26045222,4399.097162,47.48165642,-92.65712467
114076,114076,NA,LC,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,170.2296662,843.3415581,33861.13813,4.954139764,6074.53708,2748.316875,73.354962,1388.322348,47.09128823,-92.53833716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2364,2364,NA,LC,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,95.47835592,342.7823403,22521.24363,3.59015755,3431.180511,2454.867064,91.50304055,999.0215883,47.18802815,-91.75853107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126754,126754,126754,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,38.41118019,356.8187331,18689.10728,9.289449876,4068.722103,1368.70019,97.91103804,876.9798577,47.89530138,-90.40926524,MN,38.41118019,873.3024344,29992.8141,22.7356314,7150.608378,2651.759048,103.2588732,1221.298089,47.89530138,-90.40926524
2377,2377,2377,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,263.9226255,802.6564331,41902.68959,3.041256624,5665.650843,4216.244568,13.88907964,1416.706492,47.66787438,-91.08055706,MN,263.9226255,914.0864278,38562.68969,3.46346368,5665.650843,4216.244568,13.88907964,1613.382916,47.66787438,-91.08055706
2242,2242,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,8.882574729,73.78742197,7197.75008,8.30698578,1624.315162,900.8890914,80.07375128,454.2678889,47.8942195,-90.49753138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3599,3599,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,80.93994418,863.6060997,33379.08244,10.66971455,5415.025489,3915.153839,118.6949043,1594.832936,47.22592014,-92.40108206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1760,1760,NA,LC,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,53.19016131,153.9428025,12907.67137,2.894196949,2618.415638,1156.106869,139.8021899,587.9234768,47.91518562,-90.34581128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102779,102779,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,166.0092732,1059.149032,34266.58834,6.380059451,8045.029476,2386.369073,30.80497534,1316.525981,47.36844697,-91.90533464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4036,4036,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,28.01287857,771.3171252,20515.22075,27.53437578,4258.826094,2959.942383,84.61068885,1811.102656,47.52835117,-90.98087483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54240,54240,54240,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,1452.17175,31327.57189,299835.1476,21.57291098,37110.33948,14775.97996,56.70817018,8441.736812,47.30053023,-92.17260536,MN,1452.17175,32801.87494,256084.9256,22.58815112,37110.33948,14775.97996,56.70817018,8839.012361,47.30053023,-92.17260536
126761,126761,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,45.39226953,1052.657727,37775.84525,23.19024226,7867.769812,3073.161049,71.70322387,1337.93661,47.44378843,-92.24923234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3266,3266,3266,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,302.0146812,701.5749841,51118.90649,2.322983046,6231.283944,3349.207056,20.67442473,1125.891534,47.82349116,-90.76634853,MN,302.0146812,2720.60846,64237.89149,9.008199367,11539.62307,5155.912429,49.46333069,2357.623332,47.82349116,-90.76634853
3869,3869,3869,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,61.18390904,121.1893709,15055.27219,1.980739263,2044.749327,1597.305887,13.28865433,592.6857112,47.4018776,-92.54514486,MN,61.18390904,1250.850254,51315.0714,20.4441049,9778.352899,3171.584655,20.53471377,1279.203428,47.4018776,-92.54514486
2060,2060,2060,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,819.6141398,1434.03065,71858.14326,1.74964118,10571.53258,4477.868757,89.0243856,1356.502134,48.00020854,-90.19161621,MN,819.6141398,1655.069232,75012.69744,2.01932733,10929.39623,4477.868757,99.16067744,1514.328145,48.00020854,-90.19161621
1908,1908,1908,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,189.2264407,594.3555072,39646.94353,3.140974935,7473.560157,1985.486325,86.54800333,795.2776116,48.05756452,-90.42174401,MN,189.2264407,813.1477174,39412.78585,4.29722038,8068.95292,1985.486325,87.30070869,1007.748744,48.05756452,-90.42174401
127784,127784,127784,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,2418.43351,2643.396611,161173.1873,1.093020172,12027.04042,8780.028876,93.05034489,2197.87788,47.01275947,-92.19850076,MN,2418.43351,131065.4813,471546.7016,54.19437034,79186.80219,23766.47097,42.7059069,16551.42999,47.01275947,-92.19850076
81123,81123,81123,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,609.7926761,4733.288441,119020.6968,7.762127404,15281.07326,8956.456184,65.81670429,3097.484295,47.02904611,-92.11884106,MN,609.7926761,108069.7824,383336.2498,177.2238118,71418.24923,23427.47618,42.67197173,15131.95627,47.02904611,-92.11884106
3213,3213,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,37.13953804,728.4929198,25914.994,19.61502372,4062.6346,3272.640083,76.47683933,1793.15393,47.06918276,-92.00236827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1682,1682,1682,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,69.67599792,3388.285903,66719.84211,48.62916935,13064.91866,5329.502093,10.40683099,2593.422883,47.42061873,-92.7694282,MN,69.67599792,4465.568699,81145.08778,64.09048786,16564.8885,5382.942862,19.95853044,2695.803657,47.42061873,-92.7694282
3681,3681,3681,IDWS,N,N,N,100,N,Y,N,N,N,100,N,Y,MN,67.7909491,879.2757807,48665.47246,12.9704008,9510.257527,2786.02361,53.55183014,924.5551745,47.42706407,-92.6264723,MN,67.7909491,1289.158824,48256.61046,19.01668056,9510.257527,2828.361115,53.55183014,1355.545652,47.42706407,-92.6264723
1604,1604,NA,DWS,Y,N,N,100,N,Y,N,NA,NA,NA,NA,NA,MN,117.6151076,1430.654916,43182.85498,12.16387032,6564.670603,5263.750906,112.3848821,2179.324757,47.34468235,-91.29882709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92607,92607,92607,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,77.5849237,248.8687679,17971.2333,3.207694949,3154.964248,1862.852961,144.5467668,788.8164441,47.90080849,-90.43144533,MN,77.5849237,438.8987711,19451.23383,5.657011055,4027.468254,2638.502675,122.9403729,1089.763453,47.90080849,-90.43144533
2850,2850,NA,DWS,Y,N,N,100,N,N,N,NA,NA,NA,NA,NA,MN,59.25165029,572.1812586,23539.89322,9.656798685,4515.362507,2172.996514,177.207297,1267.187868,47.44809448,-92.33054658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81120,81120,81120,IDWS,N,N,N,100,N,N,N,N,N,100,N,N,MN,44.12507787,376.6393145,26129.22426,8.535720109,4284.763629,2653.784767,25.72780299,879.0200514,47.43197999,-92.3618427,MN,44.12507787,1008.072226,32149.1142,22.84578917,6797.308229,2831.393938,28.56336887,1483.046218,47.43197999,-92.3618427
