ID,Monitoring,Year,DOY,Max_Depth,Latitude,Longitude,Date,Depth,Long,lagoslakei
11NPSWRD_WQX-PIRO_01/2020/161/10,11NPSWRD_WQX-PIRO_01,2020,161,10,46.63818297,-86.0401341,6/9/2020 0:00,0,-86.0401341,3061
21MICH-040097/2005/136/21,21MICH-040097,2005,136,21,44.93691586,-83.7990815,5/16/2005 0:00,0,-83.7990815,2847
21MICH-050052/2004/140/29,21MICH-050052,2004,140,29,44.95272252,-85.2233142,5/19/2004 0:00,0,-85.2233142,2723
21MICH-080066/2001/137/15,21MICH-080066,2001,137,15,42.77014744,-85.1405534,5/17/2001 0:00,0,-85.1405534,1444
21MICH-080071/2006/134/15,21MICH-080071,2006,134,15,42.49165233,-85.4290561,5/14/2006 0:00,0,-85.4290561,2678
21MICH-080096/2010/134/15,21MICH-080096,2010,134,15,42.75412748,-85.532546,5/14/2010 0:00,0,-85.532546,2272
21MICH-100082/2001/139/21,21MICH-100082,2001,139,21,44.71560153,-85.8485653,5/19/2001 0:00,0,-85.8485653,834
21MICH-100086/2019/134/27,21MICH-100086,2019,134,27,44.68989449,-86.0931031,5/14/2019 0:00,0,-86.0931031,1627
21MICH-100139/2019/137/9,21MICH-100139,2019,137,9,44.74065668,-85.8608477,5/17/2019 0:00,0,-85.8608477,548
21MICH-100140/2019/137/6,21MICH-100140,2019,137,6,44.61522601,-85.9044417,5/17/2019 0:00,0,-85.9044417,1854
21MICH-140057/2009/130/11,21MICH-140057,2009,130,11,41.80474479,-86.0273992,5/10/2009 0:00,0,-86.0273992,87513
21MICH-140061/2000/126/29,21MICH-140061,2000,126,29,41.87831438,-85.8563108,5/5/2000 0:00,0,-85.8563108,1499
21MICH-140165/2003/125/16,21MICH-140165,2003,125,16,42.03396592,-86.0473312,5/5/2003 0:00,0,-86.0473312,1211
21MICH-140166/2002/156/13,21MICH-140166,2002,156,13,42.02931198,-86.0491289,6/5/2002 0:00,0,-86.0491289,1935
21MICH-160050/2004/138/34,21MICH-160050,2004,138,34,45.5128828,-84.5259743,5/17/2004 0:00,0,-84.5259743,3791
21MICH-180056/2000/151/8,21MICH-180056,2000,151,8,43.95402625,-84.9316759,5/30/2000 0:00,0,-84.9316759,2720
21MICH-180069/2003/123/18,21MICH-180069,2003,123,18,43.95681529,-84.9997163,5/3/2003 0:00,0,-84.9997163,2234
21MICH-180107/2000/160/24,21MICH-180107,2000,160,24,44.0702781,-84.7536601,6/8/2000 0:00,0,-84.7536601,1030
21MICH-180108/2000/136/11,21MICH-180108,2000,136,11,43.96307162,-84.9517602,5/15/2000 0:00,0,-84.9517602,1244
21MICH-280109/2005/134/13,21MICH-280109,2005,134,13,44.65201889,-85.5223693,5/14/2005 0:00,0,-85.5223693,3270
21MICH-280116/2003/142/27,21MICH-280116,2003,142,27,44.70112481,-85.6870728,5/22/2003 0:00,0,-85.6870728,1322
21MICH-300173/2009/135/16,21MICH-300173,2009,135,16,41.71101779,-84.6510116,5/15/2009 0:00,0,-84.6510116,528
21MICH-350078/2018/141/39,21MICH-350078,2018,141,39,44.41120604,-83.8217113,5/21/2018 0:00,0,-83.8217113,1357
21MICH-370063/2021/146/20,21MICH-370063,2021,146,20,43.66132653,-84.9563179,5/26/2021 0:00,0,-84.9563179,2363
21MICH-380263/2000/141/12,21MICH-380263,2000,141,12,42.0828065,-84.2124629,5/20/2000 0:00,0,-84.2124629,2116
21MICH-390210/2010/135/34,21MICH-390210,2010,135,34,42.40152978,-85.4121815,5/15/2010 0:00,0,-85.4121815,2339
21MICH-390305/2003/142/23,21MICH-390305,2003,142,23,42.15138446,-85.4860329,5/22/2003 0:00,0,-85.4860329,1038
21MICH-390382/2009/144/11,21MICH-390382,2009,144,11,42.34949212,-85.3914165,5/24/2009 0:00,0,-85.3914165,2288
21MICH-390541/2006/126/16,21MICH-390541,2006,126,16,42.15911693,-85.5747381,5/6/2006 0:00,0,-85.5747381,1985
21MICH-400026/2013/150/15,21MICH-400026,2013,150,15,44.7284449,-84.9437006,5/30/2013 0:00,0,-84.9437006,3206
21MICH-410268/2001/145/18,21MICH-410268,2001,145,18,43.03283571,-85.3841454,5/25/2001 0:00,0,-85.3841454,4202
